Question_ID,Category,Clinical_Question,Gold_Reference_Answer,Model_A_Output (Blinded),Model_B_Output (Blinded),Clinician_Preferred_Model (A/B/Tie),Model_A_Factually_Correct (1/0),Model_B_Factually_Correct (1/0),Harmful_Error_Present_In_A (1/0),Harmful_Error_Present_In_B (1/0),Clinician_Notes
CLIN-011,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Alfacalcidol có an toàn khi sử dụng cho phụ nữ mang thai không?,Alfacalcidol không được khuyến cáo sử dụng cho phụ nữ mang thai do khả năng gây dị tật thai nhi.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-012,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Vắc xin viêm gan B có an toàn khi sử dụng cho phụ nữ mang thai?,"Vắc xin viêm gan B không chống chỉ định với phụ nữ mang thai do nguy cơ nhiễm viêm gan B đối với họ và nguy cơ nhiễm virus mạn tính ở trẻ sơ sinh. Tuy nhiên, chỉ nên dùng khi thật sự cần thiết.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-013,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Zidovudin có an toàn khi sử dụng cho phụ nữ mang thai không?,"Zidovudin không được khuyến nghị sử dụng cho phụ nữ mang thai vì có thể gây ra dị tật thai nhi. Tuy nhiên, nó có thể được sử dụng trong trường hợp cần thiết để dự phòng sau phơi nhiễm HIV, với sự giám sát chặt chẽ và chỉ định của bác sĩ.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-014,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Xanh methylen có an toàn khi sử dụng trong thời kỳ mang thai?,Xanh methylen được chống chỉ định trong thời kỳ mang thai vì có thể gây hại cho thai nhi. Cần cân nhắc lợi ích và nguy cơ trước khi sử dụng.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-015,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Zidovudin có an toàn khi dùng cho phụ nữ mang thai?,"Zidovudin có chỉ định dùng cho phụ nữ mang thai để dự phòng lây truyền HIV từ mẹ sang con. Tuy nhiên, cần thận trọng và theo dõi chặt chẽ do có thể gây hại cho thai nhi.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-016,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Zolpidem có thể được sử dụng trong thời kỳ mang thai không?,Zolpidem không nên được sử dụng trong thời kỳ mang thai vì có thể gây hại cho thai nhi.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-017,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Venlafaxin có an toàn cho phụ nữ mang thai không?,Venlafaxin không được khuyến nghị cho phụ nữ mang thai trừ khi thật cần thiết do nguy cơ xảy thai và thai dị dạng.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-018,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Vinblastin có an toàn khi sử dụng cho phụ nữ mang thai không?,Vinblastin không được khuyến nghị sử dụng cho phụ nữ mang thai do khả năng gây hại cho thai nhi. Các nghiên cứu cho thấy rằng Vinblastin có thể gây dị tật và gây hại cho thai.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-019,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Vắc xin thương hàn có an toàn khi sử dụng cho phụ nữ mang thai?,Vắc xin thương hàn vỏ polysacarid không được khuyến nghị sử dụng cho phụ nữ mang thai vì chưa có đủ dữ liệu an toàn.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-020,Pregnancy Safety,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều zidovudin cho phụ nữ mang thai nhiễm HIV là bao nhiêu?,"Bà mẹ khi bắt đầu chuyển dạ đẻ, phải được truyền tĩnh mạch liên tục zidovudin một liều đơn 2 mg/kg trong 1 giờ, tiếp theo là 1 mg/kg/giờ truyền liên tục cho tới khi kẹp cuống rốn.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-021,Pregnancy Safety,Mang thai và cho con bú có ảnh hưởng gì đến việc sử dụng vitamin D cho trẻ em bị còi xương?,"Vitamin D thường được coi là an toàn cho phụ nữ mang thai và cho con bú khi sử dụng theo liều khuyến nghị. Tuy nhiên, cần tham khảo ý kiến bác sĩ trước khi sử dụng.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-022,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Vinblastin sulfat có an toàn khi sử dụng cho phụ nữ mang thai không?,Vinblastin sulfat không được sử dụng cho phụ nữ mang thai vì có thể gây hại cho thai nhi.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-023,Pregnancy Safety,Câu hỏi về Tương tác thuốc: Vinblastin có thể gây độc cho thai khi sử dụng trong thời kỳ mang thai?,"Đúng, vinblastin có thể gây độc cho thai.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-024,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Vitamin D có an toàn khi sử dụng cho phụ nữ đang cho con bú không?,"Vitamin D có thể an toàn khi sử dụng với liều không vượt quá nhu cầu sinh lý (600 đvqt hoặc 15 microgam), nhưng cần giám sát chặt chẽ để tránh tăng calci huyết.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-025,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Vecuronium bromid có an toàn khi dùng cho phụ nữ mang thai?,Chưa xác định được an toàn và hiệu lực của vecuronium bromid ở trẻ em dưới 7 tuần tuổi. Không nên dùng thuốc này cho trẻ sơ sinh.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-026,Pregnancy Safety,An toàn của vitamin D khi sử dụng trong thai kỳ và khi cho con bú là gì?,Vitamin D an toàn khi sử dụng trong thai kỳ và khi cho con bú với liều lượng phù hợp.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-027,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Zidovudin có an toàn khi sử dụng trong thời kỳ mang thai không?,"Zidovudin được chỉ định để dự phòng lây truyền HIV từ mẹ sang con, nhưng độ an toàn của việc dùng zidovudin trong thời kỳ mang thai chưa được xác định đầy đủ. Tuy nhiên, nguy cơ lây truyền HIV từ mẹ sang con là cao, nên việc điều trị là cần thiết. Các nghiên cứu về hiệu quả và kinh nghiệm lâm sàng cho thấy zidovudin là lựa chọn hợp lý.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-028,Pregnancy Safety,"Khi sử dụng Remdesivir cho phụ nữ mang thai, cần lưu ý gì về an toàn?","Remdesivir không được khuyến nghị sử dụng trong thai kỳ do chưa có đủ dữ liệu về an toàn cho thai nhi. Tuy nhiên, trong trường hợp khẩn cấp, có thể cân nhắc sử dụng sau khi đánh giá rủi ro và lợi ích.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-029,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Phụ nữ mang thai nên bổ sung Vitamin D bao nhiêu đvqt mỗi ngày?,Phụ nữ mang thai nên bổ sung 600 đvqt (15 microgam) Vitamin D mỗi ngày.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-030,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Voriconazol có an toàn khi sử dụng trong thời kỳ mang thai không?,"Không rõ voriconazol có qua nhau thai hay không. Trên động vật, thuốc gây quái thai, nên thận trọng khi sử dụng trong thời kỳ mang thai.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-031,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Desmopressin có an toàn khi sử dụng cho phụ nữ mang thai?,Desmopressin có thể gây hại cho thai nhi và nên tránh sử dụng trong thai kỳ.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-032,Pregnancy Safety,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều dùng vitamin D cho người cho con bú là bao nhiêu?,Liều dùng vitamin D cho người cho con bú không nên vượt quá liều RDA (600 đvqt hoặc 15 microgam).,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-033,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Zolpidem có an toàn khi sử dụng trong thời kỳ mang thai không?,Zolpidem không nên được sử dụng trong thời kỳ mang thai vì người mang thai không nên dùng zolpidem bất kỳ thời điểm nào.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-034,Drug Interaction,Câu hỏi về Tương tác thuốc: Thuốc natri nitroprusside có thể tương tác như thế nào với các thuốc khác?,"Natri nitroprusside có thể gây tương tác với các thuốc chứa nitrate (như isosorbide dinitrate) dẫn đến tăng cường tác dụng hạ huyết áp. Ngoài ra, nó cũng có thể tương tác với các thuốc gây co thắt mạch máu (như ergotamine).",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-035,Drug Interaction,Câu hỏi về Tương tác thuốc: Vancomycin có thể tương tác với các loại thuốc nào?,"Vancomycin thường không có tương tác mạnh với các loại thuốc khác ngoại trừ các thuốc gây ức chế hệ thống thần kinh trung ương (CNS) khi dùng cùng nhau. Tuy nhiên, cần thận trọng khi kết hợp vancomycin với các thuốc ức chế CYP3A4 vì có thể tăng nồng độ của vancomycin trong máu.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-036,Drug Interaction,Câu hỏi về Tương tác thuốc: Vecuronium bromid có tương tác gì với các thuốc gây mê đường hô hấp?,Tác dụng phong bế thần kinh - cơ của vecuronium bromid được tăng cường nhẹ bởi các thuốc gây mê đường hô hấp.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-037,Drug Interaction,Câu hỏi về Tương tác thuốc: Vincristin có tương tác với các hóa trị liệu và chiếu tia X như thế nào?,"Vincristin có thể tăng độc tính trên thần kinh khi dùng cùng với các thuốc khác cũng độc trên thần kinh, chiếu tia X vùng tủy sống hoặc bị bệnh thần kinh.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-038,Drug Interaction,Câu hỏi về Tương tác thuốc: Valsartan có tương tác với các thuốc nào có thể làm giảm hiệu quả của nó?,"Valsartan ít có khả năng tương tác với các thuốc khác do ít được chuyển hóa. Tuy nhiên, nó có thể tương tác với các thuốc như digoxin, warfarin và lithium.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-039,Drug Interaction,Câu hỏi về Tương tác thuốc...,Hạ huyết áp và tăng kali máu có thể xảy ra khi dùng valsartan ở người bệnh suy tim hoặc có dấu hiệu rối loạn chức năng tâm thu thất trái sau nhồi máu cơ tim.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-040,Drug Interaction,"Câu hỏi về Tương tác thuốc: Khi điều trị bằng thuốc tương tự vitamin D, cần phải cho bao nhiêu calci qua chế độ ăn hoặc bổ sung thêm?",Cần cho một lượng calci thỏa đáng thông qua chế độ ăn hoặc bổ sung thêm calci.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-041,Drug Interaction,Câu hỏi về Tương tác thuốc: Thận trọng với người bệnh hẹp van động mạch chủ khi sử dụng Valsartan?,Thận trọng với người bệnh hẹp van động mạch chủ hoặc hẹp van hai lá hoặc bệnh lý phì đại cơ tim khi sử dụng Valsartan vì có thể tăng nguy cơ biến cố liên quan đến van tim.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-042,Drug Interaction,Câu hỏi về Tương tác thuốc...,"Vinorelbin không nên được sử dụng cùng với BCG, clozapin, conivaptan, natalizumab, pimecrolimus, pimozid, tacrolimus do có thể gây ra tương tác thuốc không mong muốn.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-043,Drug Interaction,Câu hỏi về Tương tác thuốc...,Vinorelbin không nên được sử dụng cùng với các thuốc có tác dụng độc lên tế bào vì có thể tăng độc tính.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-044,Drug Interaction,Câu hỏi về Tương tác thuốc: Verapamil không nên được ngừng đột ngột vì sao?,Verapamil không nên được ngừng đột ngột vì có thể làm nặng thêm cơn đau thắt ngực.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-045,Drug Interaction,Câu hỏi về Tương tác thuốc...,"Vắc xin viêm gan B có thể dùng đồng thời với các chất kháng khuẩn, các sản phẩm máu, globulin miễn dịch, HBIG nhưng phải sử dụng bơm tiêm và vị trí tiêm khác nhau.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-046,Drug Interaction,Câu hỏi về Tương tác thuốc...,"Warfarin có thể tương tác với nhiều loại thuốc khác như aspirin, NSAIDs, corticosteroids, và một số thuốc điều trị tăng huyết áp. Nó cũng có thể tương tác với thức ăn giàu vitamin K như rau bina.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-047,Drug Interaction,Câu hỏi về Tương tác thuốc: Zidovudin có tương tác với thức ăn như thế nào?,Zidovudin không cần chú ý đến bữa ăn khi uống thuốc vì thức ăn có thể làm giảm nồng độ đỉnh zidovudin trong huyết tương nhưng không tác động đến diện tích dưới đường cong nồng độ - thời gian (AUC).,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-048,Drug Interaction,Câu hỏi về Tương tác thuốc...,"Dùng đồng thời valsartan với lithi có thể làm tăng nồng độ lithi trong máu, dẫn đến ngộ độc lithi. Cần theo dõi chặt chẽ người bệnh và giám sát biểu hiện độc tính của lithi.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-049,Drug Interaction,Câu hỏi về Tương tác thuốc...,"Khi điều trị bằng vitamin D, cần định kỳ đo nồng độ calci, phosphat, magnesi huyết thanh, nitơ urê máu, phosphatase kiềm máu, calci và phosphat trong nước tiểu 24 giờ.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-050,Drug Interaction,Câu hỏi về Tương tác thuốc...,"Các dữ liệu ít ỏi cho thấy khả năng sinh miễn dịch và độ an toàn của vắc xin không bị ảnh hưởng khi tiêm chủng đồng thời tại các vị trí khác nhau, với các loại vắc xin khác như giải độc tố bạch cầu, giải độc tố uốn ván và vắc xin ho gà.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-051,Drug Interaction,Câu hỏi về Tương tác thuốc: Vinblastin khi phối hợp với cisplatin trong điều trị ung thư phổi không phải tế bào nhỏ có thể gây ra những tương tác gì?,"Vinblastin khi phối hợp với cisplatin trong điều trị ung thư phổi không phải tế bào nhỏ thường không có tương tác gây hại, nhưng cần theo dõi cẩn thận các tác dụng phụ của cả hai thuốc.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-052,Drug Interaction,"Trong tương tác thuốc, vinorelbin có thể tương tác như thế nào với tacrolimus?",Vinorelbin có thể tăng nồng độ tacrolimus trong máu do việc giảm chuyển hóa của tacrolimus.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-053,Drug Interaction,"Câu hỏi về Tương tác thuốc: Khi phối hợp vasopressin với các thuốc chống trầm cảm ba vòng, clorpromazin và carbamazepin, sẽ xảy ra tương tác nào?","Khi phối hợp vasopressin với các thuốc chống trầm cảm ba vòng, clorpromazin và carbamazepin, sẽ làm tăng tác dụng chống bài niệu, gây nguy cơ ứ nước trong cơ thể và làm tăng gánh nặng cho hệ tim mạch.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-054,Drug Interaction,Câu hỏi về Tương tác thuốc...,Không sử dụng rượu bia trong vòng 48 giờ sau khi tiêm vắc xin do có thể làm tăng nguy cơ xảy ra phản ứng bất lợi.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-055,Drug Interaction,Câu hỏi về Tương tác thuốc: Thuốc zolpidem có thể tương tác với rượu và các thuốc ức chế hệ TKTW khác như thế nào?,"Thuốc zolpidem có thể làm thay đổi nghiêm trọng cách ứng xử và tâm trạng bất thường khi kết hợp với rượu hoặc các thuốc ức chế hệ TKTW khác, gây ra trầm cảm, ý tưởng tự tử, lo âu và hiện tượng quên.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-056,Drug Interaction,Câu hỏi về Tương tác thuốc: Liều vecuronium bromid có thể tương tác với các thuốc nào trong quá trình tiêm truyền liên tục?,"Vecuronium bromid có thể tương tác với các thuốc gây suy chức năng gan và thận, cũng như các thuốc gây giảm sức bền cơ. Cần điều chỉnh liều và giám sát chặt chẽ khi sử dụng cùng với các thuốc này.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-057,Drug Interaction,Câu hỏi về Tương tác thuốc: Liệu vinblastin sulfat có thể gây kích ứng mạnh khi tiêm bắp hay không?,Vinblastin sulfat không được tiêm bắp vì có thể gây kích ứng mạnh và nguy hiểm.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-058,Drug Interaction,Câu hỏi về Tương tác thuốc: Zidovudin có thể tương tác với các loại thuốc nào khác khi sử dụng trong điều trị HIV?,"Zidovudin có thể tương tác với các loại thuốc khác như ritonavir, efavirenz và lamivudin. Tương tác này có thể tăng cường hoặc giảm cường tác dụng của các thuốc này, do đó cần điều chỉnh liều lượng hoặc theo dõi chặt chẽ.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-059,Drug Interaction,Câu hỏi về Tương tác thuốc: vecuronium bromid có tương tác gì với các thuốc gây mê đường hô hấp?,Thuốc gây mê đường hô hấp như enfluran và isofluran có thể tăng cường nhẹ tác dụng phong bế thần kinh - cơ của vecuronium bromid.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-060,Drug Interaction,Câu hỏi về Tương tác thuốc...,"Voriconazol có thể gây tương tác với các thuốc nhóm CYP3A4 như ketoconazol, itraconazol, và fluconazol. Ngoài ra, voriconazol cũng có thể gây tương tác với các thuốc khác như warfarin, cyclosporine, và sirolimus. Phụ nữ nên tránh dùng voriconazol cùng với các thuốc này.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-061,Drug Interaction,Câu hỏi về Tương tác thuốc...,"Vắc xin VNNB bất hoạt không có tương tác với các loại thuốc khác thường sử dụng hàng ngày (như aspirin, ibuprofen). Tuy nhiên, người bệnh nên thông báo với bác sĩ về tất cả các loại thuốc đang sử dụng, bao gồm cả các loại thuốc không kê đơn và các loại thảo dược.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-062,Drug Interaction,"Câu hỏi về Tương tác thuốc: Thuốc dạng xịt (niêm mạc mũi) có thể gây sung huyết, kích thích và loét niêm mạc mũi. Thuốc nào có thể gây tương tác không tốt với thuốc dạng xịt mũi này?",Thuốc chứa chất làm sạch mũi hoặc có tính acid có thể gây tương tác không tốt với thuốc dạng xịt mũi.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-063,Drug Interaction,Câu hỏi về Tương tác thuốc...,"Vancomycin có thể gây thay đổi dược động học trong quá trình mang thai, do đó cần điều chỉnh liều lượng. Tuy nhiên, không có tương tác rõ ràng với các loại thuốc khác được đề cập trong văn bản.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-064,Drug Interaction,Câu hỏi về Tương tác thuốc: Zidovudin có tương tác với thức ăn như thế nào?,Zidovudin hấp thu nhanh qua đường tiêu hóa và mức độ hấp thu xác định bằng AUC không bị ảnh hưởng do thức ăn.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-065,Drug Interaction,Câu hỏi về Tương tác thuốc: Vincristin có thể tương tác với các thuốc nào do hệ thống enzym gan?,"Vincristin tương tác với các enzym cytochrom P 450, đặc biệt là isoenzym CYP3A và CYP3A5.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-066,Drug Interaction,Câu hỏi về Tương tác thuốc: Paricalcitol có thể gây ra tương tác gì với các thuốc khác?,Paricalcitol có thể gây tăng nồng độ calci trong máu nếu sử dụng cùng với các thuốc tăng nồng độ calci khác.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-067,Special Dosage,Paricalcitol có an toàn khi sử dụng trong thai kỳ không?,Paricalcitol không được khuyến nghị sử dụng trong thai kỳ do thiếu dữ liệu an toàn.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-068,Special Dosage,Câu hỏi về An toàn Thai kỳ...,"Desmopressin không được khuyến nghị sử dụng cho phụ nữ mang thai vì có thể gây hại cho thai nhi. Tuy nhiên, vecuronium cũng không được khuyến nghị sử dụng trong thai kỳ vì có thể gây ảnh hưởng đến sự phát triển của thai nhi.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-069,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt...,"Khi tính liều lượng cho các thuốc tương tự vitamin D, phải kể đến lượng ergocalciferol và colecalciferol từ thức ăn đưa vào cơ thể. Lượng này thay đổi tùy từng người. Phải dựa vào nguyên nhân và mức độ nặng của giảm calci-huyết để điều chỉnh liều và để duy trì nồng độ calci trong huyết thanh từ 9 - 10 mg/dl.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-070,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt...,"Với thuốc vinorelbin tiêm, nếu bilirubin toàn phần là 2,1 - 3 mg/100 ml, liều cần giảm 50%; nếu > 3 mg/100 ml, liều cần giảm 75%. Với thuốc uống, liều mỗi tuần cho người bị suy gan nhẹ là 60 mg/m 2, suy gan vừa là 50 mg/m 2, và suy gan nặng là chống chỉ định.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-071,Special Dosage,Câu hỏi về An toàn Thai kỳ: Vecuronium bromid có an toàn khi sử dụng trong thai kỳ không?,"Vecuronium bromid được phân loại là an toàn trong thai kỳ, nhưng cần thận trọng khi sử dụng. Không nên sử dụng vecuronium bromid trừ khi lợi ích vượt trội hơn nguy cơ.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-072,Special Dosage,Verapamil có thể gây ra những tác dụng không mong muốn nào khi sử dụng?,"Verapamil có thể gây ra các tác dụng không mong muốn như hạ huyết áp, nhịp tim chậm (< 50 lần/phút), blốc nhĩ thất hoàn toàn, đau đầu, mệt mỏi, chóng mặt, khó thở, táo bón, buồn nôn, phát ban, đỏ bừng, bốc nhĩ thất độ 2 và độ 3, hạ huyết áp thế đứng.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-073,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều valsartan cho người già nên được điều chỉnh như thế nào?,"Liều valsartan cho người già không cần điều chỉnh so với người trẻ khỏe mạnh, trừ khi có suy thận. Tuy nhiên, cần giám sát chặt chẽ nồng độ valsartan trong máu để đảm bảo an toàn.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-074,Special Dosage,Câu hỏi về An toàn Thai kỳ: Thuốc Vasopressin có an toàn khi sử dụng trong thai kỳ không?,Vasopressin không được khuyến nghị sử dụng trong thai kỳ vì có thể gây hại cho thai nhi.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-075,Special Dosage,"Dự phòng lây truyền HIV từ mẹ sang thai nhi, zidovudin phải được truyền tĩnh mạch như thế nào?","Bà mẹ phải được truyền tĩnh mạch liên tục zidovudin một liều đơn 2 mg/kg trong 1 giờ, tiếp theo là 1 mg/kg/giờ truyền liên tục cho tới khi kẹp cuống rốn.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-076,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều verapamil cho người bệnh suy tim nặng như thế nào?,"Nếu người bệnh có suy tim mất bù hoặc nhịp chậm, cần điều chỉnh liều verapamil một cách thận trọng và theo dõi chặt chẽ.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-077,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt...,"Trong trường hợp suy gan nặng, liều ban đầu của warfarin nên được giảm và theo dõi INR nhiều lần hơn. Đối với người cao tuổi, liều cũng cần được điều chỉnh phù hợp và cần đặc biệt chú ý đến việc tuân thủ dùng thuốc.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
